19:14:00.685: Position 1: FM90
19:19:25.902: Message received: teamAwesome,p@55w04d,3,HH88
19:19:25.903: Awarded: 0 pts
19:19:25.906: Message received: teamAwesome,p@55w04d,4,AH77
19:19:25.909: Awarded: 0 pts
19:19:25.915: Message received: teamAwesome,p@55w04d,5,HA91
19:19:25.920: Awarded: 6 pts
19:19:25.928: Message received: teamAwesome,p@55w04d,6,PV49
19:19:25.929: Awarded: 6 pts
19:19:26.038: Message received: teamAwesome,p@55w04d,1,HH88
19:19:26.040: Awarded: 0 pts
19:19:26.041: Message received: teamAwesome,p@55w04d,2,MW25
19:19:26.044: Awarded: 6 pts
19:19:26.047: Message received: teamAwesome,p@55w04d,3,HH88
19:19:26.048: Awarded: 0 pts
19:19:26.051: Message received: teamAwesome,p@55w04d,4,AH77
19:19:26.054: Awarded: 0 pts
19:19:26.058: Message received: teamAwesome,p@55w04d,5,HA91
19:19:26.060: Awarded: 6 pts
19:19:26.068: Message received: teamAwesome,p@55w04d,6,PV49
19:19:26.071: Awarded: 6 pts
19:19:26.166: Message received: teamAwesome,p@55w04d,1,HH88
19:19:26.168: Awarded: 0 pts
19:19:26.170: Message received: teamAwesome,p@55w04d,2,MW25
19:19:26.184: Awarded: 6 pts
19:19:26.194: Message received: teamAwesome,p@55w04d,3,HH88
19:19:26.197: Awarded: 0 pts
19:19:26.200: Message received: teamAwesome,p@55w04d,4,AH77
19:19:26.203: Awarded: 0 pts
19:19:26.208: Message received: teamAwesome,p@55w04d,5,HA91
19:19:26.212: Awarded: 6 pts
19:19:26.216: Message received: teamAwesome,p@55w04d,6,PV49
19:19:26.221: Awarded: 6 pts
19:19:26.321: Message received: teamAwesome,p@55w04d,1,HH88
19:19:26.323: Awarded: 0 pts
19:19:26.325: Message received: teamAwesome,p@55w04d,2,MW25
19:19:26.327: Awarded: 6 pts
19:19:26.334: Message received: teamAwesome,p@55w04d,3,HH88
19:19:26.343: Awarded: 0 pts
19:19:26.346: Message received: teamAwesome,p@55w04d,4,AH77
19:19:26.356: Awarded: 0 pts
19:19:26.361: Message received: teamAwesome,p@55w04d,5,HA91
19:19:26.365: Awarded: 6 pts
19:19:26.370: Message received: teamAwesome,p@55w04d,6,PV49
19:19:26.373: Awarded: 6 pts
19:19:26.516: Message received: teamAwesome,p@55w04d,1,HH88
19:19:26.518: Awarded: 0 pts
19:19:26.519: Message received: teamAwesome,p@55w04d,2,MW25
19:19:26.522: Awarded: 6 pts
19:19:26.526: Message received: teamAwesome,p@55w04d,3,HH88
19:19:26.529: Awarded: 0 pts
19:19:26.533: Message received: teamAwesome,p@55w04d,4,AH77
19:19:26.536: Awarded: 0 pts
19:19:26.538: Message received: teamAwesome,p@55w04d,5,HA91
19:19:26.545: Awarded: 6 pts
19:19:26.567: Message received: teamAwesome,p@55w04d,6,PV49
19:19:26.570: Awarded: 6 pts
19:19:26.710: Message received: teamAwesome,p@55w04d,1,HH88
19:19:26.711: Awarded: 0 pts
19:19:26.714: Message received: teamAwesome,p@55w04d,2,MW25
19:19:26.716: Awarded: 6 pts
19:19:26.723: Message received: teamAwesome,p@55w04d,3,HH88
19:19:26.726: Awarded: 0 pts
19:19:26.729: Message received: teamAwesome,p@55w04d,4,AH77
19:19:26.736: Awarded: 0 pts
19:19:26.746: Message received: teamAwesome,p@55w04d,5,HA91
19:19:26.747: Awarded: 6 pts
19:19:26.753: Message received: teamAwesome,p@55w04d,6,PV49
19:19:26.758: Awarded: 6 pts
19:19:26.811: Message received: teamAwesome,p@55w04d,1,HH88
19:19:26.813: Awarded: 0 pts
19:19:26.818: Message received: teamAwesome,p@55w04d,2,MW25
19:19:26.820: Awarded: 6 pts
19:19:26.825: Message received: teamAwesome,p@55w04d,3,HH88
19:19:26.831: Awarded: 0 pts
19:19:26.834: Message received: teamAwesome,p@55w04d,4,AH77
19:19:26.846: Awarded: 0 pts
19:19:26.847: Message received: teamAwesome,p@55w04d,5,HA91
19:19:26.848: Awarded: 6 pts
19:19:26.854: Message received: teamAwesome,p@55w04d,6,PV49
19:19:26.857: Awarded: 6 pts
19:19:26.936: Message received: teamAwesome,p@55w04d,1,HH88
19:19:26.939: Awarded: 0 pts
19:19:26.942: Message received: teamAwesome,p@55w04d,2,MW25
19:19:26.944: Awarded: 6 pts
19:19:26.949: Message received: teamAwesome,p@55w04d,3,HH88
19:19:26.953: Awarded: 0 pts
19:19:26.954: Message received: teamAwesome,p@55w04d,4,AH77
19:19:26.965: Awarded: 0 pts
19:19:26.968: Message received: teamAwesome,p@55w04d,5,HA91
19:19:26.974: Awarded: 6 pts
19:19:26.978: Message received: teamAwesome,p@55w04d,6,PV49
19:19:26.980: Awarded: 6 pts
19:19:27.097: Message received: teamAwesome,p@55w04d,1,HH88
19:19:27.101: Awarded: 0 pts
19:19:27.102: Message received: teamAwesome,p@55w04d,2,MW25
19:19:27.106: Awarded: 6 pts
19:19:27.108: Message received: teamAwesome,p@55w04d,3,HH88
19:19:27.110: Awarded: 0 pts
19:19:27.112: Message received: teamAwesome,p@55w04d,4,AH77
19:19:27.114: Awarded: 0 pts
19:19:27.121: Message received: teamAwesome,p@55w04d,5,HA91
19:19:27.127: Awarded: 6 pts
19:19:27.131: Message received: teamAwesome,p@55w04d,6,PV49
19:19:27.133: Awarded: 6 pts
19:19:27.279: Message received: teamAwesome,p@55w04d,1,HH88
19:19:27.282: Awarded: 0 pts
19:19:27.285: Message received: teamAwesome,p@55w04d,2,MW25
19:19:27.286: Awarded: 6 pts
19:19:27.287: Message received: teamAwesome,p@55w04d,3,HH88
19:19:27.289: Awarded: 0 pts
19:19:27.291: Message received: teamAwesome,p@55w04d,4,AH77
19:19:27.293: Awarded: 0 pts
19:19:27.296: Message received: teamAwesome,p@55w04d,5,HA91
19:19:27.302: Awarded: 6 pts
19:19:27.309: Message received: teamAwesome,p@55w04d,6,PV49
19:19:27.318: Awarded: 6 pts
19:19:27.423: Message received: teamAwesome,p@55w04d,1,HH88
19:19:27.426: Awarded: 0 pts
19:19:27.427: Message received: teamAwesome,p@55w04d,2,MW25
19:19:27.429: Awarded: 6 pts
19:19:27.431: Message received: teamAwesome,p@55w04d,3,HH88
19:19:27.432: Awarded: 0 pts
19:19:27.444: Message received: teamAwesome,p@55w04d,4,AH77
19:19:27.446: Awarded: 0 pts
19:19:27.448: Message received: teamAwesome,p@55w04d,5,HA91
19:19:27.457: Awarded: 6 pts
19:19:27.471: Message received: teamAwesome,p@55w04d,6,PV49
19:19:27.473: Awarded: 6 pts
19:19:27.538: Message received: teamAwesome,p@55w04d,1,HH88
19:19:27.540: Awarded: 0 pts
19:19:27.542: Message received: teamAwesome,p@55w04d,2,MW25
19:19:27.544: Awarded: 6 pts
19:19:27.550: Message received: teamAwesome,p@55w04d,3,HH88
19:19:27.554: Awarded: 0 pts
19:19:27.565: Message received: teamAwesome,p@55w04d,4,AH77
19:19:27.566: Awarded: 0 pts
19:19:27.577: Message received: teamAwesome,p@55w04d,5,HA91
19:19:27.581: Awarded: 6 pts
19:19:27.583: Message received: teamAwesome,p@55w04d,6,PV49
19:19:27.584: Awarded: 6 pts
19:19:27.633: Message received: teamAwesome,p@55w04d,1,HH88
19:19:27.635: Awarded: 0 pts
19:19:27.637: Message received: teamAwesome,p@55w04d,2,MW25
19:19:27.640: Awarded: 6 pts
19:19:27.642: Message received: teamAwesome,p@55w04d,3,HH88
19:19:27.643: Awarded: 0 pts
19:19:27.645: Message received: teamAwesome,p@55w04d,4,AH77
19:19:27.648: Awarded: 0 pts
19:19:27.651: Message received: teamAwesome,p@55w04d,5,HA91
19:19:27.655: Awarded: 6 pts
19:19:27.658: Message received: teamAwesome,p@55w04d,6,PV49
19:19:27.659: Awarded: 6 pts
19:19:27.758: Message received: teamAwesome,p@55w04d,1,HH88
19:19:27.760: Awarded: 0 pts
19:19:27.763: Message received: teamAwesome,p@55w04d,2,MW25
19:19:27.765: Awarded: 6 pts
19:19:27.768: Message received: teamAwesome,p@55w04d,3,HH88
19:19:27.769: Awarded: 0 pts
19:19:27.770: Message received: teamAwesome,p@55w04d,4,AH77
19:19:27.772: Awarded: 0 pts
19:19:27.775: Message received: teamAwesome,p@55w04d,5,HA91
19:19:27.780: Awarded: 6 pts
19:19:27.787: Message received: teamAwesome,p@55w04d,6,PV49
19:19:27.790: Awarded: 6 pts
19:19:27.907: Message received: teamAwesome,p@55w04d,1,HH88
19:19:27.909: Awarded: 0 pts
19:19:27.911: Message received: teamAwesome,p@55w04d,2,MW25
19:19:27.913: Awarded: 6 pts
19:19:27.915: Message received: teamAwesome,p@55w04d,3,HH88
19:19:27.917: Awarded: 0 pts
19:19:27.920: Message received: teamAwesome,p@55w04d,4,AH77
19:19:27.922: Awarded: 0 pts
19:19:27.927: Message received: teamAwesome,p@55w04d,5,HA91
19:19:27.930: Awarded: 6 pts
19:19:27.932: Message received: teamAwesome,p@55w04d,6,PV49
19:19:27.933: Awarded: 6 pts
19:19:28.017: Message received: teamAwesome,p@55w04d,1,HH88
19:19:28.019: Awarded: 0 pts
19:19:28.021: Message received: teamAwesome,p@55w04d,2,MW25
19:19:28.022: Awarded: 6 pts
19:19:28.024: Message received: teamAwesome,p@55w04d,3,HH88
19:19:28.027: Awarded: 0 pts
19:19:28.033: Message received: teamAwesome,p@55w04d,4,AH77
19:19:28.041: Awarded: 0 pts
19:19:28.045: Message received: teamAwesome,p@55w04d,5,HA91
19:19:28.052: Awarded: 6 pts
19:19:28.056: Message received: teamAwesome,p@55w04d,6,PV49
19:19:28.062: Awarded: 6 pts
19:19:28.169: Message received: teamAwesome,p@55w04d,1,HH88
19:19:28.171: Awarded: 0 pts
19:19:28.173: Message received: teamAwesome,p@55w04d,2,MW25
19:19:28.175: Awarded: 6 pts
19:19:28.178: Message received: teamAwesome,p@55w04d,3,HH88
19:19:28.181: Awarded: 0 pts
19:19:28.183: Message received: teamAwesome,p@55w04d,4,AH77
19:19:28.185: Awarded: 0 pts
19:19:28.192: Message received: teamAwesome,p@55w04d,5,HA91
19:19:28.198: Awarded: 6 pts
19:19:28.201: Message received: teamAwesome,p@55w04d,6,PV49
19:19:28.205: Awarded: 6 pts
19:19:28.327: Message received: teamAwesome,p@55w04d,1,HH88
19:19:28.329: Awarded: 0 pts
19:19:28.331: Message received: teamAwesome,p@55w04d,2,MW25
19:19:28.332: Awarded: 6 pts
19:19:28.335: Message received: teamAwesome,p@55w04d,3,HH88
19:19:28.336: Awarded: 0 pts
19:19:28.340: Message received: teamAwesome,p@55w04d,4,AH77
19:19:28.343: Awarded: 0 pts
19:19:28.348: Message received: teamAwesome,p@55w04d,5,HA91
19:19:28.351: Awarded: 6 pts
19:19:28.353: Message received: teamAwesome,p@55w04d,6,PV49
19:19:28.359: Awarded: 6 pts
19:19:28.504: Message received: teamAwesome,p@55w04d,1,HH88
19:19:28.510: Awarded: 0 pts
19:19:28.511: Message received: teamAwesome,p@55w04d,2,MW25
19:19:28.515: Awarded: 6 pts
19:19:28.518: Message received: teamAwesome,p@55w04d,3,HH88
19:19:28.521: Awarded: 0 pts
19:19:28.523: Message received: teamAwesome,p@55w04d,4,AH77
19:19:28.527: Awarded: 0 pts
19:19:28.535: Message received: teamAwesome,p@55w04d,5,HA91
19:19:28.537: Awarded: 6 pts
19:19:28.540: Message received: teamAwesome,p@55w04d,6,PV49
19:19:28.542: Awarded: 6 pts
19:19:28.685: Message received: teamAwesome,p@55w04d,1,HH88
19:19:28.695: Awarded: 0 pts
19:19:28.701: Message received: teamAwesome,p@55w04d,2,MW25
19:19:28.705: Awarded: 6 pts
19:19:28.707: Message received: teamAwesome,p@55w04d,3,HH88
19:19:28.714: Awarded: 0 pts
19:19:28.716: Message received: teamAwesome,p@55w04d,4,AH77
19:19:28.718: Awarded: 0 pts
19:19:28.722: Message received: teamAwesome,p@55w04d,5,HA91
19:19:28.725: Awarded: 6 pts
19:19:28.727: Message received: teamAwesome,p@55w04d,6,PV49
19:19:28.735: Awarded: 6 pts
19:19:28.757: Message received: teamAwesome,p@55w04d,1,HH88
19:19:28.781: Awarded: 0 pts
19:19:28.794: Message received: teamAwesome,p@55w04d,2,MW25
19:19:28.800: Awarded: 6 pts
19:19:28.807: Message received: teamAwesome,p@55w04d,3,HH88
19:19:28.814: Awarded: 0 pts
19:19:28.819: Message received: teamAwesome,p@55w04d,4,AH77
19:19:28.826: Awarded: 0 pts
19:19:28.827: Message received: teamAwesome,p@55w04d,5,HA91
19:19:28.834: Awarded: 6 pts
19:19:28.838: Message received: teamAwesome,p@55w04d,6,PV49
19:19:28.839: Awarded: 6 pts
19:19:28.842: Message received: teamAwesome,p@55w04d,1,HH88
19:19:28.845: Awarded: 0 pts
19:19:28.846: Message received: teamAwesome,p@55w04d,2,MW25
19:19:28.848: Awarded: 6 pts
19:19:28.854: Message received: teamAwesome,p@55w04d,3,HH88
19:19:28.855: Awarded: 0 pts
19:19:28.863: Message received: teamAwesome,p@55w04d,4,AH77
19:19:28.867: Awarded: 0 pts
19:19:28.870: Message received: teamAwesome,p@55w04d,5,HA91
19:19:28.872: Awarded: 6 pts
19:19:28.881: Message received: teamAwesome,p@55w04d,6,PV49
19:19:28.882: Awarded: 6 pts
19:19:29.079: Message received: teamAwesome,p@55w04d,1,HH88
19:19:29.081: Awarded: 0 pts
19:19:29.083: Message received: teamAwesome,p@55w04d,2,MW25
19:19:29.085: Awarded: 6 pts
19:19:29.086: Message received: teamAwesome,p@55w04d,3,HH88
19:19:29.088: Awarded: 0 pts
19:19:29.094: Message received: teamAwesome,p@55w04d,4,AH77
19:19:29.097: Awarded: 0 pts
19:19:29.100: Message received: teamAwesome,p@55w04d,5,HA91
19:19:29.105: Awarded: 6 pts
19:19:29.112: Message received: teamAwesome,p@55w04d,6,PV49
19:19:29.114: Awarded: 6 pts
19:19:29.206: Message received: teamAwesome,p@55w04d,1,HH88
19:19:29.210: Awarded: 0 pts
19:19:29.211: Message received: teamAwesome,p@55w04d,2,MW25
19:19:29.212: Awarded: 6 pts
19:19:29.228: Message received: teamAwesome,p@55w04d,3,HH88
19:19:29.230: Awarded: 0 pts
19:19:29.236: Message received: teamAwesome,p@55w04d,4,AH77
19:19:29.240: Awarded: 0 pts
19:19:29.245: Message received: teamAwesome,p@55w04d,5,HA91
19:19:29.250: Awarded: 6 pts
19:19:29.253: Message received: teamAwesome,p@55w04d,6,PV49
19:19:29.262: Awarded: 6 pts
19:19:29.284: Message received: teamAwesome,p@55w04d,1,HH88
19:19:29.287: Awarded: 0 pts
19:19:29.291: Message received: teamAwesome,p@55w04d,2,MW25
19:19:29.294: Awarded: 6 pts
19:19:29.298: Message received: teamAwesome,p@55w04d,3,HH88
19:19:29.302: Awarded: 0 pts
19:19:29.306: Message received: teamAwesome,p@55w04d,4,AH77
19:19:29.310: Awarded: 0 pts
19:19:29.313: Message received: teamAwesome,p@55w04d,5,HA91
19:19:29.316: Awarded: 6 pts
19:19:29.318: Message received: teamAwesome,p@55w04d,6,PV49
19:19:29.320: Awarded: 6 pts
19:19:29.408: Message received: teamAwesome,p@55w04d,1,HH88
19:19:29.411: Awarded: 0 pts
19:19:29.413: Message received: teamAwesome,p@55w04d,2,MW25
19:19:29.415: Awarded: 6 pts
19:19:29.417: Message received: teamAwesome,p@55w04d,3,HH88
19:19:29.422: Awarded: 0 pts
19:19:29.428: Message received: teamAwesome,p@55w04d,4,AH77
19:19:29.431: Awarded: 0 pts
19:19:29.435: Message received: teamAwesome,p@55w04d,5,HA91
19:19:29.440: Awarded: 6 pts
19:19:29.445: Message received: teamAwesome,p@55w04d,6,PV49
19:19:29.450: Awarded: 6 pts
19:19:29.623: Message received: teamAwesome,p@55w04d,1,HH88
19:19:29.624: Awarded: 0 pts
19:19:29.626: Message received: teamAwesome,p@55w04d,2,MW25
19:19:29.628: Awarded: 6 pts
19:19:29.630: Message received: teamAwesome,p@55w04d,3,HH88
19:19:29.633: Awarded: 0 pts
19:19:29.638: Message received: teamAwesome,p@55w04d,4,AH77
19:19:29.643: Awarded: 0 pts
19:19:29.651: Message received: teamAwesome,p@55w04d,5,HA91
19:19:29.654: Awarded: 6 pts
19:19:29.661: Message received: teamAwesome,p@55w04d,6,PV49
19:19:29.665: Awarded: 6 pts
19:19:29.778: Message received: teamAwesome,p@55w04d,1,HH88
19:19:29.779: Awarded: 0 pts
19:19:29.781: Message received: teamAwesome,p@55w04d,2,MW25
19:19:29.782: Awarded: 6 pts
19:19:29.784: Message received: teamAwesome,p@55w04d,3,HH88
19:19:29.786: Awarded: 0 pts
19:19:29.787: Message received: teamAwesome,p@55w04d,4,AH77
19:19:29.790: Awarded: 0 pts
19:19:29.795: Message received: teamAwesome,p@55w04d,5,HA91
19:19:29.797: Awarded: 6 pts
19:19:29.799: Message received: teamAwesome,p@55w04d,6,PV49
19:19:29.802: Awarded: 6 pts
19:19:29.932: Message received: teamAwesome,p@55w04d,1,HH88
19:19:29.937: Awarded: 0 pts
19:19:29.940: Message received: teamAwesome,p@55w04d,2,MW25
19:19:29.941: Awarded: 6 pts
19:19:29.946: Message received: teamAwesome,p@55w04d,3,HH88
19:19:29.949: Awarded: 0 pts
19:19:29.958: Message received: teamAwesome,p@55w04d,4,AH77
19:19:29.968: Awarded: 0 pts
19:19:29.978: Message received: teamAwesome,p@55w04d,5,HA91
19:19:29.981: Awarded: 6 pts
19:19:29.988: Message received: teamAwesome,p@55w04d,6,PV49
19:19:29.991: Awarded: 6 pts
19:19:30.042: Message received: teamAwesome,p@55w04d,1,HH88
19:19:30.044: Awarded: 0 pts
19:19:30.048: Message received: teamAwesome,p@55w04d,2,MW25
19:19:30.050: Awarded: 6 pts
19:19:30.051: Message received: teamAwesome,p@55w04d,3,HH88
19:19:30.052: Awarded: 0 pts
19:19:30.054: Message received: teamAwesome,p@55w04d,4,AH77
19:19:30.057: Awarded: 0 pts
19:19:30.063: Message received: teamAwesome,p@55w04d,5,HA91
19:19:30.066: Awarded: 6 pts
19:19:30.072: Message received: teamAwesome,p@55w04d,6,PV49
19:19:30.074: Awarded: 6 pts
19:19:30.163: Message received: teamAwesome,p@55w04d,1,HH88
19:19:30.165: Awarded: 0 pts
19:19:30.167: Message received: teamAwesome,p@55w04d,2,MW25
19:19:30.168: Awarded: 6 pts
19:19:30.171: Message received: teamAwesome,p@55w04d,3,HH88
19:19:30.173: Awarded: 0 pts
19:19:30.178: Message received: teamAwesome,p@55w04d,4,AH77
19:19:30.181: Awarded: 0 pts
19:19:30.185: Message received: teamAwesome,p@55w04d,5,HA91
19:19:30.191: Awarded: 6 pts
19:19:30.195: Message received: teamAwesome,p@55w04d,6,PV49
19:19:30.201: Awarded: 6 pts
19:19:30.359: Message received: teamAwesome,p@55w04d,1,HH88
19:19:30.361: Awarded: 0 pts
19:19:30.363: Message received: teamAwesome,p@55w04d,2,MW25
19:19:30.365: Awarded: 6 pts
19:19:30.368: Message received: teamAwesome,p@55w04d,3,HH88
19:19:30.370: Awarded: 0 pts
19:19:30.374: Message received: teamAwesome,p@55w04d,4,AH77
19:19:30.376: Awarded: 0 pts
19:19:30.381: Message received: teamAwesome,p@55w04d,5,HA91
19:19:30.385: Awarded: 6 pts
19:19:30.389: Message received: teamAwesome,p@55w04d,6,PV49
19:19:30.392: Awarded: 6 pts
19:19:30.540: Message received: teamAwesome,p@55w04d,1,HH88
19:19:30.543: Awarded: 0 pts
19:19:30.545: Message received: teamAwesome,p@55w04d,2,MW25
19:19:30.547: Awarded: 6 pts
19:19:30.550: Message received: teamAwesome,p@55w04d,3,HH88
19:19:30.565: Awarded: 0 pts
19:19:30.570: Message received: teamAwesome,p@55w04d,4,AH77
19:19:30.574: Awarded: 0 pts
19:19:30.582: Message received: teamAwesome,p@55w04d,5,HA91
19:19:30.587: Awarded: 6 pts
19:19:30.591: Message received: teamAwesome,p@55w04d,6,PV49
19:19:30.596: Awarded: 6 pts
19:19:30.667: Message received: teamAwesome,p@55w04d,1,HH88
19:19:30.669: Awarded: 0 pts
19:19:30.671: Message received: teamAwesome,p@55w04d,2,MW25
19:19:30.673: Awarded: 6 pts
19:19:30.675: Message received: teamAwesome,p@55w04d,3,HH88
19:19:30.678: Awarded: 0 pts
19:19:30.681: Message received: teamAwesome,p@55w04d,4,AH77
19:19:30.690: Awarded: 0 pts
19:19:30.693: Message received: teamAwesome,p@55w04d,5,HA91
19:19:30.697: Awarded: 6 pts
19:19:30.698: Message received: teamAwesome,p@55w04d,6,PV49
19:19:30.702: Awarded: 6 pts
19:19:30.792: Message received: teamAwesome,p@55w04d,1,HH88
19:19:30.794: Awarded: 0 pts
19:19:30.796: Message received: teamAwesome,p@55w04d,2,MW25
19:19:30.797: Awarded: 6 pts
19:19:30.800: Message received: teamAwesome,p@55w04d,3,HH88
19:19:30.802: Awarded: 0 pts
19:19:30.804: Message received: teamAwesome,p@55w04d,4,AH77
19:19:30.806: Awarded: 0 pts
19:19:30.814: Message received: teamAwesome,p@55w04d,5,HA91
19:19:30.818: Awarded: 6 pts
19:19:30.823: Message received: teamAwesome,p@55w04d,6,PV49
19:19:30.827: Awarded: 6 pts
19:19:30.907: Message received: teamAwesome,p@55w04d,1,HH88
19:19:30.915: Awarded: 0 pts
19:19:30.920: Message received: teamAwesome,p@55w04d,2,MW25
19:19:30.924: Awarded: 6 pts
19:19:30.928: Message received: teamAwesome,p@55w04d,3,HH88
19:19:30.938: Awarded: 0 pts
19:19:30.945: Message received: teamAwesome,p@55w04d,4,AH77
19:19:30.948: Awarded: 0 pts
19:19:30.955: Message received: teamAwesome,p@55w04d,5,HA91
19:19:30.961: Awarded: 6 pts
19:19:30.963: Message received: teamAwesome,p@55w04d,6,PV49
19:19:30.968: Awarded: 6 pts
19:19:36.005: Message received: teamAwesome,p@55w04d,1,HH88
19:19:36.007: Awarded: 0 pts
19:19:36.031: Message received: teamAwesome,p@55w04d,2,MW25
19:19:36.033: Awarded: 6 pts
19:19:36.035: Message received: teamAwesome,p@55w04d,3,HH88
19:19:36.036: Awarded: 0 pts
19:19:36.038: Message received: teamAwesome,p@55w04d,4,AH77
19:19:36.042: Awarded: 0 pts
19:19:36.046: Message received: teamAwesome,p@55w04d,5,HA91
19:19:36.048: Awarded: 6 pts
19:19:36.050: Message received: teamAwesome,p@55w04d,6,PV49
19:19:36.052: Awarded: 6 pts
19:19:41.119: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.146: Awarded: 0 pts
19:19:41.149: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.150: Awarded: 6 pts
19:19:41.152: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.156: Awarded: 0 pts
19:19:41.161: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.166: Awarded: 0 pts
19:19:41.167: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.173: Awarded: 6 pts
19:19:41.178: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.180: Awarded: 6 pts
19:19:41.246: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.247: Awarded: 0 pts
19:19:41.250: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.252: Awarded: 6 pts
19:19:41.254: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.261: Awarded: 0 pts
19:19:41.266: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.269: Awarded: 0 pts
19:19:41.273: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.275: Awarded: 6 pts
19:19:41.277: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.282: Awarded: 6 pts
19:19:41.307: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.308: Awarded: 0 pts
19:19:41.310: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.311: Awarded: 6 pts
19:19:41.313: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.316: Awarded: 0 pts
19:19:41.318: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.321: Awarded: 0 pts
19:19:41.323: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.327: Awarded: 6 pts
19:19:41.330: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.337: Awarded: 6 pts
19:19:41.359: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.361: Awarded: 0 pts
19:19:41.362: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.364: Awarded: 6 pts
19:19:41.365: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.371: Awarded: 0 pts
19:19:41.372: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.376: Awarded: 0 pts
19:19:41.378: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.382: Awarded: 6 pts
19:19:41.383: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.385: Awarded: 6 pts
19:19:41.405: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.409: Awarded: 0 pts
19:19:41.410: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.412: Awarded: 6 pts
19:19:41.415: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.417: Awarded: 0 pts
19:19:41.421: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.423: Awarded: 0 pts
19:19:41.425: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.428: Awarded: 6 pts
19:19:41.430: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.433: Awarded: 6 pts
19:19:41.457: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.459: Awarded: 0 pts
19:19:41.460: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.462: Awarded: 6 pts
19:19:41.466: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.467: Awarded: 0 pts
19:19:41.472: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.476: Awarded: 0 pts
19:19:41.478: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.484: Awarded: 6 pts
19:19:41.489: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.496: Awarded: 6 pts
19:19:41.501: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.505: Awarded: 0 pts
19:19:41.507: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.511: Awarded: 6 pts
19:19:41.514: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.518: Awarded: 0 pts
19:19:41.522: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.527: Awarded: 0 pts
19:19:41.530: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.536: Awarded: 6 pts
19:19:41.543: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.547: Awarded: 6 pts
19:19:41.550: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.552: Awarded: 0 pts
19:19:41.555: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.561: Awarded: 6 pts
19:19:41.564: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.570: Awarded: 0 pts
19:19:41.574: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.576: Awarded: 0 pts
19:19:41.579: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.583: Awarded: 6 pts
19:19:41.584: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.587: Awarded: 6 pts
19:19:41.601: Message received: teamAwesome,p@55w04d,1,HH88
19:19:41.604: Awarded: 0 pts
19:19:41.607: Message received: teamAwesome,p@55w04d,2,MW25
19:19:41.610: Awarded: 6 pts
19:19:41.614: Message received: teamAwesome,p@55w04d,3,HH88
19:19:41.617: Awarded: 0 pts
19:19:41.622: Message received: teamAwesome,p@55w04d,4,AH77
19:19:41.626: Awarded: 0 pts
19:19:41.632: Message received: teamAwesome,p@55w04d,5,HA91
19:19:41.634: Awarded: 6 pts
19:19:41.638: Message received: teamAwesome,p@55w04d,6,PV49
19:19:41.640: Awarded: 6 pts
