19:26:30.276: Position 1: BY94
19:29:13.307: Awarded: 6 pts
19:29:13.322: Message received: teamAwesome,p@55w04d,3,FI35
19:29:13.328: Awarded: 0 pts
19:29:13.334: Message received: teamAwesome,p@55w04d,4,5441
19:29:13.338: Awarded: 0 pts
19:29:13.340: Message received: teamAwesome,p@55w04d,5,FI35
19:29:13.345: Awarded: 6 pts
19:29:13.355: Message received: teamAwesome,p@55w04d,6,DN82
19:29:13.361: Awarded: 0 pts
19:29:13.384: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:13.395: Awarded: 0 pts
19:29:13.408: Message received: teamAwesome,p@55w04d,2,GC76
19:29:13.414: Awarded: 6 pts
19:29:13.418: Message received: teamAwesome,p@55w04d,3,FI35
19:29:13.422: Awarded: 0 pts
19:29:13.425: Message received: teamAwesome,p@55w04d,4,5441
19:29:13.430: Awarded: 0 pts
19:29:13.446: Message received: teamAwesome,p@55w04d,5,FI35
19:29:13.458: Awarded: 6 pts
19:29:13.468: Message received: teamAwesome,p@55w04d,6,DN82
19:29:13.478: Awarded: 0 pts
19:29:13.503: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:13.508: Awarded: 0 pts
19:29:13.519: Message received: teamAwesome,p@55w04d,2,GC76
19:29:13.529: Awarded: 6 pts
19:29:13.538: Message received: teamAwesome,p@55w04d,3,FI35
19:29:13.549: Awarded: 0 pts
19:29:13.555: Message received: teamAwesome,p@55w04d,4,5441
19:29:13.560: Awarded: 0 pts
19:29:13.567: Message received: teamAwesome,p@55w04d,5,FI35
19:29:13.580: Awarded: 6 pts
19:29:13.589: Message received: teamAwesome,p@55w04d,6,DN82
19:29:13.594: Awarded: 0 pts
19:29:13.693: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:13.696: Awarded: 0 pts
19:29:13.700: Message received: teamAwesome,p@55w04d,2,GC76
19:29:13.703: Awarded: 6 pts
19:29:13.713: Message received: teamAwesome,p@55w04d,3,FI35
19:29:13.721: Awarded: 0 pts
19:29:13.725: Message received: teamAwesome,p@55w04d,4,5441
19:29:13.730: Awarded: 0 pts
19:29:13.738: Message received: teamAwesome,p@55w04d,5,FI35
19:29:13.742: Awarded: 6 pts
19:29:13.766: Message received: teamAwesome,p@55w04d,6,DN82
19:29:13.773: Awarded: 0 pts
19:29:13.815: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:13.820: Awarded: 0 pts
19:29:13.824: Message received: teamAwesome,p@55w04d,2,GC76
19:29:13.827: Awarded: 6 pts
19:29:13.830: Message received: teamAwesome,p@55w04d,3,FI35
19:29:13.833: Awarded: 0 pts
19:29:13.836: Message received: teamAwesome,p@55w04d,4,5441
19:29:13.840: Awarded: 0 pts
19:29:13.843: Message received: teamAwesome,p@55w04d,5,FI35
19:29:13.847: Awarded: 6 pts
19:29:13.850: Message received: teamAwesome,p@55w04d,6,DN82
19:29:13.854: Awarded: 0 pts
19:29:13.916: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:13.919: Awarded: 0 pts
19:29:13.921: Message received: teamAwesome,p@55w04d,2,GC76
19:29:13.927: Awarded: 6 pts
19:29:13.936: Message received: teamAwesome,p@55w04d,3,FI35
19:29:13.940: Awarded: 0 pts
19:29:13.947: Message received: teamAwesome,p@55w04d,4,5441
19:29:13.956: Awarded: 0 pts
19:29:13.963: Message received: teamAwesome,p@55w04d,5,FI35
19:29:13.967: Awarded: 6 pts
19:29:13.970: Message received: teamAwesome,p@55w04d,6,DN82
19:29:13.973: Awarded: 0 pts
19:29:14.637: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:14.640: Awarded: 0 pts
19:29:14.667: Message received: teamAwesome,p@55w04d,2,GC76
19:29:14.672: Awarded: 6 pts
19:29:14.683: Message received: teamAwesome,p@55w04d,3,FI35
19:29:14.689: Awarded: 0 pts
19:29:14.692: Message received: teamAwesome,p@55w04d,4,5441
19:29:14.706: Awarded: 0 pts
19:29:14.712: Message received: teamAwesome,p@55w04d,5,FI35
19:29:14.716: Awarded: 6 pts
19:29:14.727: Message received: teamAwesome,p@55w04d,6,DN82
19:29:14.733: Awarded: 0 pts
19:29:14.771: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:14.776: Awarded: 0 pts
19:29:14.785: Message received: teamAwesome,p@55w04d,2,GC76
19:29:14.793: Awarded: 6 pts
19:29:14.799: Message received: teamAwesome,p@55w04d,3,FI35
19:29:14.808: Awarded: 0 pts
19:29:14.812: Message received: teamAwesome,p@55w04d,4,5441
19:29:14.818: Awarded: 0 pts
19:29:14.823: Message received: teamAwesome,p@55w04d,5,FI35
19:29:14.828: Awarded: 6 pts
19:29:14.831: Message received: teamAwesome,p@55w04d,6,DN82
19:29:14.834: Awarded: 0 pts
19:29:14.864: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:14.868: Awarded: 0 pts
19:29:14.875: Message received: teamAwesome,p@55w04d,2,GC76
19:29:14.878: Awarded: 6 pts
19:29:14.884: Message received: teamAwesome,p@55w04d,3,FI35
19:29:14.887: Awarded: 0 pts
19:29:14.891: Message received: teamAwesome,p@55w04d,4,5441
19:29:14.897: Awarded: 0 pts
19:29:14.900: Message received: teamAwesome,p@55w04d,5,FI35
19:29:14.903: Awarded: 6 pts
19:29:14.908: Message received: teamAwesome,p@55w04d,6,DN82
19:29:14.911: Awarded: 0 pts
19:29:15.680: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:15.683: Awarded: 0 pts
19:29:15.686: Message received: teamAwesome,p@55w04d,2,GC76
19:29:15.689: Awarded: 6 pts
19:29:15.693: Message received: teamAwesome,p@55w04d,3,FI35
19:29:15.702: Awarded: 0 pts
19:29:15.706: Message received: teamAwesome,p@55w04d,4,5441
19:29:15.714: Awarded: 0 pts
19:29:15.724: Message received: teamAwesome,p@55w04d,5,FI35
19:29:15.728: Awarded: 6 pts
19:29:15.731: Message received: teamAwesome,p@55w04d,6,DN82
19:29:15.736: Awarded: 0 pts
19:29:16.615: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:16.620: Awarded: 0 pts
19:29:16.629: Message received: teamAwesome,p@55w04d,2,GC76
19:29:16.633: Awarded: 6 pts
19:29:16.636: Message received: teamAwesome,p@55w04d,3,FI35
19:29:16.644: Awarded: 0 pts
19:29:16.649: Message received: teamAwesome,p@55w04d,4,5441
19:29:16.652: Awarded: 0 pts
19:29:16.658: Message received: teamAwesome,p@55w04d,5,FI35
19:29:16.664: Awarded: 6 pts
19:29:16.671: Message received: teamAwesome,p@55w04d,6,DN82
19:29:16.680: Awarded: 0 pts
19:29:17.311: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.315: Awarded: 0 pts
19:29:17.323: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.326: Awarded: 6 pts
19:29:17.332: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.337: Awarded: 0 pts
19:29:17.346: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.351: Awarded: 0 pts
19:29:17.361: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.365: Awarded: 6 pts
19:29:17.369: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.379: Awarded: 0 pts
19:29:17.390: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.400: Awarded: 0 pts
19:29:17.405: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.408: Awarded: 6 pts
19:29:17.413: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.420: Awarded: 0 pts
19:29:17.423: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.426: Awarded: 0 pts
19:29:17.430: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.434: Awarded: 6 pts
19:29:17.437: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.440: Awarded: 0 pts
19:29:17.442: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.450: Awarded: 0 pts
19:29:17.456: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.462: Awarded: 6 pts
19:29:17.466: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.469: Awarded: 0 pts
19:29:17.485: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.489: Awarded: 0 pts
19:29:17.494: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.499: Awarded: 6 pts
19:29:17.504: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.510: Awarded: 0 pts
19:29:17.518: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.522: Awarded: 0 pts
19:29:17.526: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.532: Awarded: 6 pts
19:29:17.537: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.541: Awarded: 0 pts
19:29:17.545: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.548: Awarded: 0 pts
19:29:17.556: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.559: Awarded: 6 pts
19:29:17.561: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.567: Awarded: 0 pts
19:29:17.579: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.585: Awarded: 0 pts
19:29:17.592: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.595: Awarded: 6 pts
19:29:17.600: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.611: Awarded: 0 pts
19:29:17.614: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.618: Awarded: 0 pts
19:29:17.621: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.626: Awarded: 6 pts
19:29:17.628: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.634: Awarded: 0 pts
19:29:17.643: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.648: Awarded: 0 pts
19:29:17.652: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.660: Awarded: 6 pts
19:29:17.664: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.669: Awarded: 0 pts
19:29:17.672: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.676: Awarded: 0 pts
19:29:17.681: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.687: Awarded: 6 pts
19:29:17.693: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.701: Awarded: 0 pts
19:29:17.735: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.738: Awarded: 0 pts
19:29:17.741: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.746: Awarded: 6 pts
19:29:17.755: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.762: Awarded: 0 pts
19:29:17.771: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.778: Awarded: 0 pts
19:29:17.784: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.796: Awarded: 6 pts
19:29:17.803: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.807: Awarded: 0 pts
19:29:17.810: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.813: Awarded: 0 pts
19:29:17.816: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.822: Awarded: 6 pts
19:29:17.827: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.831: Awarded: 0 pts
19:29:17.838: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.843: Awarded: 0 pts
19:29:17.853: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.861: Awarded: 6 pts
19:29:17.865: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.869: Awarded: 0 pts
19:29:17.877: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.888: Awarded: 0 pts
19:29:17.892: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.901: Awarded: 6 pts
19:29:17.904: Message received: teamAwesome,p@55w04d,3,FI35
19:29:17.909: Awarded: 0 pts
19:29:17.912: Message received: teamAwesome,p@55w04d,4,5441
19:29:17.915: Awarded: 0 pts
19:29:17.918: Message received: teamAwesome,p@55w04d,5,FI35
19:29:17.922: Awarded: 6 pts
19:29:17.927: Message received: teamAwesome,p@55w04d,6,DN82
19:29:17.932: Awarded: 0 pts
19:29:17.979: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:17.984: Awarded: 0 pts
19:29:17.987: Message received: teamAwesome,p@55w04d,2,GC76
19:29:17.991: Awarded: 6 pts
19:29:17.997: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.002: Awarded: 0 pts
19:29:18.006: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.013: Awarded: 0 pts
19:29:18.017: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.022: Awarded: 6 pts
19:29:18.027: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.030: Awarded: 0 pts
19:29:18.102: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.105: Awarded: 0 pts
19:29:18.108: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.116: Awarded: 6 pts
19:29:18.119: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.125: Awarded: 0 pts
19:29:18.129: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.133: Awarded: 0 pts
19:29:18.137: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.144: Awarded: 6 pts
19:29:18.147: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.157: Awarded: 0 pts
19:29:18.230: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.233: Awarded: 0 pts
19:29:18.242: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.247: Awarded: 6 pts
19:29:18.259: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.264: Awarded: 0 pts
19:29:18.271: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.276: Awarded: 0 pts
19:29:18.281: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.286: Awarded: 6 pts
19:29:18.292: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.299: Awarded: 0 pts
19:29:18.377: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.381: Awarded: 0 pts
19:29:18.385: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.392: Awarded: 6 pts
19:29:18.395: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.399: Awarded: 0 pts
19:29:18.405: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.408: Awarded: 0 pts
19:29:18.414: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.419: Awarded: 6 pts
19:29:18.424: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.428: Awarded: 0 pts
19:29:18.521: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.524: Awarded: 0 pts
19:29:18.530: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.533: Awarded: 6 pts
19:29:18.536: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.547: Awarded: 0 pts
19:29:18.553: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.561: Awarded: 0 pts
19:29:18.564: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.574: Awarded: 6 pts
19:29:18.577: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.580: Awarded: 0 pts
19:29:18.624: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.627: Awarded: 0 pts
19:29:18.636: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.642: Awarded: 6 pts
19:29:18.646: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.651: Awarded: 0 pts
19:29:18.654: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.656: Awarded: 0 pts
19:29:18.660: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.664: Awarded: 6 pts
19:29:18.667: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.671: Awarded: 0 pts
19:29:18.762: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.765: Awarded: 0 pts
19:29:18.772: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.782: Awarded: 6 pts
19:29:18.785: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.792: Awarded: 0 pts
19:29:18.800: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.806: Awarded: 0 pts
19:29:18.811: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.816: Awarded: 6 pts
19:29:18.820: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.826: Awarded: 0 pts
19:29:18.837: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.842: Awarded: 0 pts
19:29:18.852: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.858: Awarded: 6 pts
19:29:18.866: Message received: teamAwesome,p@55w04d,3,FI35
19:29:18.871: Awarded: 0 pts
19:29:18.876: Message received: teamAwesome,p@55w04d,4,5441
19:29:18.883: Awarded: 0 pts
19:29:18.888: Message received: teamAwesome,p@55w04d,5,FI35
19:29:18.894: Awarded: 6 pts
19:29:18.900: Message received: teamAwesome,p@55w04d,6,DN82
19:29:18.903: Awarded: 0 pts
19:29:18.963: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:18.966: Awarded: 0 pts
19:29:18.972: Message received: teamAwesome,p@55w04d,2,GC76
19:29:18.980: Awarded: 6 pts
19:29:18.990: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.002: Awarded: 0 pts
19:29:19.010: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.016: Awarded: 0 pts
19:29:19.020: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.025: Awarded: 6 pts
19:29:19.036: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.040: Awarded: 0 pts
19:29:19.110: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:19.114: Awarded: 0 pts
19:29:19.126: Message received: teamAwesome,p@55w04d,2,GC76
19:29:19.131: Awarded: 6 pts
19:29:19.137: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.141: Awarded: 0 pts
19:29:19.147: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.152: Awarded: 0 pts
19:29:19.158: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.163: Awarded: 6 pts
19:29:19.168: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.173: Awarded: 0 pts
19:29:19.209: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:19.213: Awarded: 0 pts
19:29:19.216: Message received: teamAwesome,p@55w04d,2,GC76
19:29:19.222: Awarded: 6 pts
19:29:19.228: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.235: Awarded: 0 pts
19:29:19.239: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.246: Awarded: 0 pts
19:29:19.251: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.257: Awarded: 6 pts
19:29:19.263: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.268: Awarded: 0 pts
19:29:19.360: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:19.364: Awarded: 0 pts
19:29:19.367: Message received: teamAwesome,p@55w04d,2,GC76
19:29:19.372: Awarded: 6 pts
19:29:19.375: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.380: Awarded: 0 pts
19:29:19.383: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.389: Awarded: 0 pts
19:29:19.395: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.401: Awarded: 6 pts
19:29:19.407: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.411: Awarded: 0 pts
19:29:19.488: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:19.492: Awarded: 0 pts
19:29:19.508: Message received: teamAwesome,p@55w04d,2,GC76
19:29:19.525: Awarded: 6 pts
19:29:19.528: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.533: Awarded: 0 pts
19:29:19.542: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.546: Awarded: 0 pts
19:29:19.554: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.559: Awarded: 6 pts
19:29:19.563: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.566: Awarded: 0 pts
19:29:19.583: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:19.597: Awarded: 0 pts
19:29:19.602: Message received: teamAwesome,p@55w04d,2,GC76
19:29:19.611: Awarded: 6 pts
19:29:19.615: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.619: Awarded: 0 pts
19:29:19.624: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.634: Awarded: 0 pts
19:29:19.639: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.644: Awarded: 6 pts
19:29:19.649: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.654: Awarded: 0 pts
19:29:19.724: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:19.728: Awarded: 0 pts
19:29:19.731: Message received: teamAwesome,p@55w04d,2,GC76
19:29:19.743: Awarded: 6 pts
19:29:19.754: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.762: Awarded: 0 pts
19:29:19.768: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.773: Awarded: 0 pts
19:29:19.781: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.787: Awarded: 6 pts
19:29:19.799: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.803: Awarded: 0 pts
19:29:19.860: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:19.863: Awarded: 0 pts
19:29:19.869: Message received: teamAwesome,p@55w04d,2,GC76
19:29:19.878: Awarded: 6 pts
19:29:19.885: Message received: teamAwesome,p@55w04d,3,FI35
19:29:19.892: Awarded: 0 pts
19:29:19.897: Message received: teamAwesome,p@55w04d,4,5441
19:29:19.901: Awarded: 0 pts
19:29:19.909: Message received: teamAwesome,p@55w04d,5,FI35
19:29:19.920: Awarded: 6 pts
19:29:19.923: Message received: teamAwesome,p@55w04d,6,DN82
19:29:19.927: Awarded: 0 pts
19:29:20.027: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.030: Awarded: 0 pts
19:29:20.041: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.049: Awarded: 6 pts
19:29:20.058: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.063: Awarded: 0 pts
19:29:20.073: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.076: Awarded: 0 pts
19:29:20.084: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.098: Awarded: 6 pts
19:29:20.102: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.109: Awarded: 0 pts
19:29:20.154: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.159: Awarded: 0 pts
19:29:20.163: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.168: Awarded: 6 pts
19:29:20.173: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.177: Awarded: 0 pts
19:29:20.182: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.185: Awarded: 0 pts
19:29:20.190: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.195: Awarded: 6 pts
19:29:20.199: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.203: Awarded: 0 pts
19:29:20.242: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.249: Awarded: 0 pts
19:29:20.258: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.273: Awarded: 6 pts
19:29:20.284: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.290: Awarded: 0 pts
19:29:20.295: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.299: Awarded: 0 pts
19:29:20.304: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.307: Awarded: 6 pts
19:29:20.311: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.315: Awarded: 0 pts
19:29:20.350: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.353: Awarded: 0 pts
19:29:20.357: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.362: Awarded: 6 pts
19:29:20.365: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.373: Awarded: 0 pts
19:29:20.380: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.386: Awarded: 0 pts
19:29:20.392: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.395: Awarded: 6 pts
19:29:20.399: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.404: Awarded: 0 pts
19:29:20.498: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.501: Awarded: 0 pts
19:29:20.504: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.507: Awarded: 6 pts
19:29:20.514: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.522: Awarded: 0 pts
19:29:20.528: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.531: Awarded: 0 pts
19:29:20.537: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.543: Awarded: 6 pts
19:29:20.547: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.551: Awarded: 0 pts
19:29:20.597: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.599: Awarded: 0 pts
19:29:20.602: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.607: Awarded: 6 pts
19:29:20.614: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.617: Awarded: 0 pts
19:29:20.620: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.624: Awarded: 0 pts
19:29:20.628: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.636: Awarded: 6 pts
19:29:20.639: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.642: Awarded: 0 pts
19:29:20.737: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.743: Awarded: 0 pts
19:29:20.745: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.753: Awarded: 6 pts
19:29:20.756: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.758: Awarded: 0 pts
19:29:20.766: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.771: Awarded: 0 pts
19:29:20.774: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.780: Awarded: 6 pts
19:29:20.783: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.788: Awarded: 0 pts
19:29:20.856: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.860: Awarded: 0 pts
19:29:20.863: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.869: Awarded: 6 pts
19:29:20.873: Message received: teamAwesome,p@55w04d,3,FI35
19:29:20.878: Awarded: 0 pts
19:29:20.881: Message received: teamAwesome,p@55w04d,4,5441
19:29:20.886: Awarded: 0 pts
19:29:20.891: Message received: teamAwesome,p@55w04d,5,FI35
19:29:20.893: Awarded: 6 pts
19:29:20.896: Message received: teamAwesome,p@55w04d,6,DN82
19:29:20.901: Awarded: 0 pts
19:29:20.977: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:20.986: Awarded: 0 pts
19:29:20.989: Message received: teamAwesome,p@55w04d,2,GC76
19:29:20.993: Awarded: 6 pts
19:29:20.997: Message received: teamAwesome,p@55w04d,3,FI35
19:29:21.001: Awarded: 0 pts
19:29:21.004: Message received: teamAwesome,p@55w04d,4,5441
19:29:21.008: Awarded: 0 pts
19:29:21.013: Message received: teamAwesome,p@55w04d,5,FI35
19:29:21.021: Awarded: 6 pts
19:29:21.024: Message received: teamAwesome,p@55w04d,6,DN82
19:29:21.029: Awarded: 0 pts
19:29:21.130: Message received: teamAwesome,p@55w04d,1,LLLL
19:29:21.133: Awarded: 0 pts
19:29:21.139: Message received: teamAwesome,p@55w04d,2,GC76
19:29:21.143: Awarded: 6 pts
19:29:21.155: Message received: teamAwesome,p@55w04d,3,FI35
19:29:21.164: Awarded: 0 pts
19:29:21.173: Message received: teamAwesome,p@55w04d,4,5441
19:29:21.178: Awarded: 0 pts
19:29:21.183: Message received: teamAwesome,p@55w04d,5,FI35
19:29:21.187: Awarded: 6 pts
19:29:21.190: Message received: teamAwesome,p@55w04d,6,DN82
